name,place_id,business_status,address,phone,opening_hours,types,rating,rating_total,longitude,latitude,map_url,website,newest_review
毛樂居寵物美容工作室,ChIJrcvWcAAHaDQRxPNXA-YvmJ0,OPERATIONAL,233台灣新北市烏來區溫泉街47號,,"['星期一: 11:30 – 19:00', '星期二: 11:30 – 19:00', '星期三: 休息', '星期四: 11:30 – 19:00', '星期五: 11:30 – 19:00', '星期六: 11:30 – 19:00', '星期日: 11:30 – 19:00']","['establishment', 'point_of_interest']",,,121.5515846,24.8614266,https://maps.google.com/?cid=11355879125359784900,,
寵愛寵物美容,ChIJVwVEOEM8aDQR5v4jYsY_3eY,OPERATIONAL,325台灣桃園市龍潭區中原路二段20號,034116385,"['星期一: 10:00 – 18:00', '星期二: 10:00 – 13:30', '星期三: 休息', '星期四: 10:00 – 18:00', '星期五: 10:00 – 18:00', '星期六: 10:00 – 18:00', '星期日: 10:00 – 18:00']","['establishment', 'pet_store', 'point_of_interest', 'store']",5.0,10.0,121.1979749,24.8454477,https://maps.google.com/?cid=16635522719859080934,,2025-10-05
北龍寵物美容,ChIJecPxaDI9aDQRWGjTzMgP5Kk,OPERATIONAL,325台灣桃園市龍潭區建國路87號,034091191,"['星期一: 09:00 – 18:00', '星期二: 09:00 – 17:00', '星期三: 11:00 – 18:00', '星期四: 11:00 – 18:00', '星期五: 休息', '星期六: 09:00 – 18:00', '星期日: 09:00 – 18:00']","['establishment', 'point_of_interest']",4.4,50.0,121.2341631,24.8428461,https://maps.google.com/?cid=12241927042204133464,,2024-06-09
阿珠寵物小屋,ChIJC0cC2SA7aTQRLKloXs7Jjt0,OPERATIONAL,413台灣霧峰區中正路259號,0963257128,,"['establishment', 'pet_store', 'point_of_interest', 'store']",,,120.6938283,24.0345092,https://maps.google.com/?cid=15964919617259350316,,
Jessica 寵物美容,ChIJT91_ekQ7aTQR2WRILdu39Tc,OPERATIONAL,413台灣臺中市霧峰區林森路502號,0423396502,"['星期一: 11:00 – 20:00', '星期二: 休息', '星期三: 休息', '星期四: 11:00 – 20:00', '星期五: 11:00 – 20:00', '星期六: 11:00 – 20:00', '星期日: 11:00 – 20:00']","['establishment', 'point_of_interest']",5.0,4.0,120.6953285,24.0605025,https://maps.google.com/?cid=4032331193365587161,https://www.facebook.com/jessica.petsalon520,2024-05-16
,OPERATIONAL,,,,,,,,,,,,
,OPERATIONAL,,,,,,,,,,,,
百分百寵物生活館 寵物美容(鳳林店) 獸醫師開的寵物店,ChIJd__9IwbjcTQRcxObIkHMrBY,OPERATIONAL,832台灣高雄市林園區鳳林路一段39號,076410998,"['星期一: 10:00 – 22:00', '星期二: 10:00 – 22:00', '星期三: 10:00 – 22:00', '星期四: 10:00 – 22:00', '星期五: 10:00 – 22:00', '星期六: 10:00 – 22:00', '星期日: 10:00 – 22:00']","['establishment', 'point_of_interest', 'store']",4.9,285.0,120.3975342,22.5026654,https://maps.google.com/?cid=1633905344954176371,https://www.pet100pa.com/news,2025-10-18
,OPERATIONAL,,,,,,,,,,,,
東森寵物 高雄林園東店,ChIJw9qh6nvicTQRCG5w65p5kHk,OPERATIONAL,832台灣高雄市林園區東林東路28號1樓,076425770,"['星期一: 10:00 – 22:00', '星期二: 10:00 – 22:00', '星期三: 10:00 – 22:00', '星期四: 10:00 – 22:00', '星期五: 10:00 – 22:00', '星期六: 10:00 – 22:00', '星期日: 10:00 – 22:00']","['establishment', 'pet_store', 'point_of_interest', 'store']",4.6,341.0,120.3965855,22.5037652,https://maps.google.com/?cid=8759634981517553160,https://www.etipets.com/,2025-02-22
忠愛寵物美容,ChIJ1a0FjX7icTQR-BbS4QXNpOg,OPERATIONAL,832台灣高雄市林園區,076435351,"['星期一: 09:30 – 18:00', '星期二: 09:30 – 18:00', '星期三: 休息', '星期四: 09:30 – 18:00', '星期五: 09:30 – 18:00', '星期六: 09:30 – 19:00', '星期日: 09:30 – 19:00']","['establishment', 'point_of_interest']",4.7,14.0,120.3931221,22.5069148,https://maps.google.com/?cid=16763749138127001336,https://m.facebook.com/ZhongAiPet/,2022-03-29
頑皮狗寵物生活館,ChIJr-GobobicTQRRNDU3Nn_J_E,OPERATIONAL,832台灣高雄市林園區東林西路463號,076439412,,"['establishment', 'pet_store', 'point_of_interest', 'store']",4.0,6.0,120.384948,22.503735,https://maps.google.com/?cid=17377138998410268740,,2019-10-19
Thuy Spa 越式洗頭美容美甲,ChIJy4dmXADjcTQR94LsigkxJno,OPERATIONAL,832台灣高雄市林園區北汕二路75號,0955201929,"['星期一: 10:00 – 22:00', '星期二: 10:00 – 22:00', '星期三: 10:00 – 22:00', '星期四: 10:00 – 22:00', '星期五: 10:00 – 22:00', '星期六: 10:00 – 22:00', '星期日: 10:00 – 22:00']","['beauty_salon', 'establishment', 'point_of_interest']",5.0,18.0,120.407979,22.4820619,https://maps.google.com/?cid=8801776438797435639,,2025-10-22
POYA寶雅 高雄林園二店,ChIJW8yyYxXjcTQRAQB5OhV61oU,OPERATIONAL,832台灣高雄市林園區鳳林路一段39號,076428808,"['星期一: 10:00 – 22:00', '星期二: 10:00 – 22:00', '星期三: 10:00 – 22:00', '星期四: 10:00 – 22:00', '星期五: 10:00 – 22:00', '星期六: 10:00 – 22:00', '星期日: 10:00 – 22:00']","['establishment', 'point_of_interest', 'store']",4.3,151.0,120.3975006,22.5025685,https://maps.google.com/?cid=9644029883654406145,http://www.poyahome.com.tw/,2025-08-16
