name,place_id,buss_status,geometry,update_time
百分百寵物生活館 寵物美容(鳳林店) 獸醫師開的寵物店,ChIJd__9IwbjcTQRcxObIkHMrBY,OPERATIONAL,"{'lat': 22.5026654, 'lng': 120.3975342}",2025/11/12 06:55:20
東森寵物 高雄林園東店,ChIJw9qh6nvicTQRCG5w65p5kHk,OPERATIONAL,"{'lat': 22.5037652, 'lng': 120.3965855}",2025/11/12 06:55:20
雅緻水族,ChIJwVnXjHzicTQREDRS8JiUuyM,OPERATIONAL,"{'lat': 22.5023981, 'lng': 120.3940771}",2025/11/12 06:55:20
狗狗讚寵物美容,ChIJP1BkRIXjcTQR-QdS6LHfxvo,OPERATIONAL,"{'lat': 22.504643, 'lng': 120.3976441}",2025/11/12 06:55:20
POYA寶雅 高雄林園二店,ChIJW8yyYxXjcTQRAQB5OhV61oU,OPERATIONAL,"{'lat': 22.502571, 'lng': 120.3975418}",2025/11/12 06:55:20
鳳林水族,ChIJK2EIY3nicTQRUmPEAutdU8U,OPERATIONAL,"{'lat': 22.5050338, 'lng': 120.3974165}",2025/11/12 06:55:20
裕農爬蟲工作室｜無店面｜無參觀｜高雄爬店｜守宮｜課程｜高雄爬蟲-網路銷售,ChIJkd4wHaDjcTQRWZFTRODkTwA,OPERATIONAL,"{'lat': 22.4972434, 'lng': 120.3841476}",2025/11/12 06:55:20
雅新美容美髮材料行,ChIJheP5OHzicTQRNNV3E0yPG2Q,OPERATIONAL,"{'lat': 22.5043565, 'lng': 120.3934585}",2025/11/12 06:55:20
頑皮狗寵物生活館,ChIJr-GobobicTQRRNDU3Nn_J_E,OPERATIONAL,"{'lat': 22.5037273, 'lng': 120.3849489}",2025/11/12 06:55:20
D調貓舍,ChIJFX-PppXjcTQR9sxOhkndudA,OPERATIONAL,"{'lat': 22.4861744, 'lng': 120.3977412}",2025/11/12 06:55:20
群冠企業有限公司,ChIJIfr86ojicTQRyCSxHV-SYP0,OPERATIONAL,"{'lat': 22.5004358, 'lng': 120.3855512}",2025/11/12 06:55:20
迷彩豬吉娃娃博美犬舍 特寵繁字第w1070225號,ChIJIb7bI9_jcTQRYVA_8iGLU8A,OPERATIONAL,"{'lat': 22.5008801, 'lng': 120.3856372}",2025/11/12 06:55:20
林園區新福寵物美容,ChIJkVRmM3zicTQRr4HyBXldBVg,OPERATIONAL,"{'lat': 22.5048166, 'lng': 120.3927719}",2025/11/12 06:55:20
遇見肉 多肉植物設計 Meet Succulents| 高雄多肉 | 林園景點 | 開幕送禮 | 塊根植物｜團體課程｜DIY檔期課程｜寵物盆葬｜,ChIJ7zNG6OYcbjQRz7IrYXjFj7g,OPERATIONAL,"{'lat': 22.5078766, 'lng': 120.3768522}",2025/11/12 06:55:20
萬寵寵物,ChIJA885BVTjcTQRa__ZLpR4OqE,OPERATIONAL,"{'lat': 22.4999959, 'lng': 120.3898397}",2025/11/12 06:55:20
