city,district,population
臺北市,松山區,187359
臺北市,信義區,201689
臺北市,大安區,282433
臺北市,中山區,212376
臺北市,中正區,144321
臺北市,大同區,116779
臺北市,萬華區,168875
臺北市,文山區,254004
臺北市,南港區,111062
臺北市,內湖區,268280
臺北市,士林區,258514
臺北市,北投區,236021
新北市,板橋區,550050
新北市,三重區,382913
新北市,中和區,404369
新北市,永和區,211526
新北市,新莊區,421488
新北市,新店區,306964
新北市,樹林區,177529
新北市,鶯歌區,89536
新北市,三峽區,115062
新北市,淡水區,207137
新北市,汐止區,212758
新北市,瑞芳區,35731
新北市,土城區,242570
新北市,蘆洲區,196705
新北市,五股區,94626
新北市,泰山區,78088
新北市,林口區,138117
新北市,深坑區,23676
新北市,石碇區,6947
新北市,坪林區,6185
新北市,三芝區,22111
新北市,石門區,10010
新北市,八里區,43477
新北市,平溪區,3921
新北市,雙溪區,7468
新北市,貢寮區,10472
新北市,金山區,19760
新北市,萬里區,20282
新北市,烏來區,6178
桃園市,桃園區,478144
桃園市,中壢區,439035
桃園市,大溪區,93931
桃園市,楊梅區,182800
桃園市,蘆竹區,170630
桃園市,大園區,89282
桃園市,龜山區,187840
桃園市,八德區,215856
桃園市,龍潭區,127441
桃園市,平鎮區,228367
桃園市,新屋區,49737
桃園市,觀音區,77301
桃園市,復興區,13245
臺中市,中區,18041
臺中市,東區,77694
臺中市,南區,128333
臺中市,西區,113306
臺中市,北區,143550
臺中市,西屯區,237944
臺中市,南屯區,186035
臺中市,北屯區,316913
臺中市,豐原區,161870
臺中市,東勢區,46635
臺中市,大甲區,73169
臺中市,清水區,90751
臺中市,沙鹿區,101344
臺中市,梧棲區,65033
臺中市,后里區,52751
臺中市,神岡區,63382
臺中市,潭子區,109347
臺中市,大雅區,94840
臺中市,新社區,22610
臺中市,石岡區,13688
臺中市,外埔區,30848
臺中市,大安區,17516
臺中市,烏日區,82214
臺中市,大肚區,55339
臺中市,龍井區,79160
臺中市,霧峰區,62737
臺中市,太平區,201207
臺中市,大里區,211110
臺中市,和平區,10469
臺南市,新營區,74566
臺南市,鹽水區,23714
臺南市,白河區,25020
臺南市,柳營區,19892
臺南市,後壁區,20925
臺南市,東山區,18550
臺南市,麻豆區,42942
臺南市,下營區,21787
臺南市,六甲區,20915
臺南市,官田區,20552
臺南市,大內區,8437
臺南市,佳里區,58353
臺南市,學甲區,24400
臺南市,西港區,24851
臺南市,七股區,20555
臺南市,將軍區,17665
臺南市,北門區,9478
臺南市,新化區,41943
臺南市,善化區,53836
臺南市,新市區,38298
臺南市,安定區,29814
臺南市,山上區,6824
臺南市,玉井區,12681
臺南市,楠西區,8413
臺南市,南化區,7643
臺南市,左鎮區,4075
臺南市,仁德區,77515
臺南市,歸仁區,70551
臺南市,關廟區,33237
臺南市,龍崎區,3245
臺南市,永康區,235844
臺南市,東區,180948
臺南市,南區,119339
臺南市,北區,125410
臺南市,安南區,204533
臺南市,安平區,71263
臺南市,中西區,75986
高雄市,鹽埕區,21920
高雄市,鼓山區,140775
高雄市,左營區,197657
高雄市,楠梓區,195611
高雄市,三民區,328961
高雄市,新興區,49322
高雄市,前金區,27622
高雄市,苓雅區,161383
高雄市,前鎮區,177206
高雄市,旗津區,25006
高雄市,小港區,153289
高雄市,鳳山區,353238
高雄市,林園區,67436
高雄市,大寮區,112327
高雄市,大樹區,39948
高雄市,大社區,33761
高雄市,仁武區,100169
高雄市,鳥松區,43746
高雄市,岡山區,94712
高雄市,橋頭區,43335
高雄市,燕巢區,28400
高雄市,田寮區,6150
高雄市,阿蓮區,26812
高雄市,路竹區,49054
高雄市,湖內區,29334
高雄市,茄萣區,28762
高雄市,永安區,13527
高雄市,彌陀區,17776
高雄市,梓官區,34713
高雄市,旗山區,33445
高雄市,美濃區,36187
高雄市,六龜區,11303
高雄市,甲仙區,5296
高雄市,杉林區,10587
高雄市,內門區,12581
高雄市,茂林區,1841
高雄市,桃源區,4145
高雄市,那瑪夏區,3114
