收容所名稱,縣市,地址,電話,Google 評分,評分人數,營業時間,Place ID,經度,緯度,營業狀態,最新評論日期,GMap 網址,每週營業時數
屏東縣動物之家,屏東縣,屏東縣麟洛鄉信義路101號,08-7221090,,,,,,,,,,
彰化縣流浪狗中途之家,彰化縣,彰化縣員林市大峰里阿寶巷426號,(04)8590638,,,,,,,,,,
澎湖縣流浪動物收容中心,澎湖縣,澎湖縣馬公市烏崁里260號、261號,06-9213559,,,,,,,,,,
金門縣動物收容中心,金門縣,金門縣金湖鎮裕民農莊20號,082-336625,,,,,,,,,,
連江縣流浪犬收容中心,連江縣,連江縣馬祖南竿鄉復興村223號,0836-25003,,,,,,,,,,
屏東縣公立犬貓中途之家,屏東縣,屏東縣內埔鄉學府路1號,0900-493-311,,,,,,,,,,
高雄市燕巢動物保護關愛園區,高雄市,高雄市燕巢區師大路98號,07-6051002,,,,,,,,,,
高雄市壽山動物保護教育園區,高雄市,高雄市鼓山區萬壽路350號,07-5519059,,,,,,,,,,
臺南市動物之家善化站,臺南市,臺南市善化區東昌里東勢寮1~19號,06-5832399,,,,,,,,,,
臺南市動物之家灣裡站,臺南市,臺南市南區省躬里14鄰萬年路580巷92號,06-2964439,,,,,,,,,,
嘉義縣流浪犬中途之家,嘉義縣,嘉義縣大林鎮中坑里中興2-6號,05-2950053 / 05-3620025,,,,,,,,,,
嘉義市動物保護教育園區,嘉義市,嘉義市彌陀路31號旁,05-2168661,,,,,,,,,,
臺東縣動物收容中心,臺東縣,臺東縣臺東市中華路4段999巷600號,089-362011,,,,,,,,,,
花蓮縣狗貓躍動園區,花蓮縣,花蓮縣花蓮市鳳林鎮林榮里永豐路255號,(03)8421452,,,,,,,,,,
宜蘭縣流浪動物中途之家,宜蘭縣,宜蘭縣五結鄉成興村利寶路60號,03-9602350 分機620,,,,,,,,,,
公立南投動物收容所,南投縣,南投縣南投市嶺興路36-1號,049-2225440,,,,,,,,,,
臺中市動物之家后里園區,臺中市,臺中市后里區堤防路370號,04-25588024,,,,,,,,,,
臺中市動物之家南屯園區(整修中),臺中市,臺中市南屯區中台路601號,04-23850976,,,,,,,,,,
苗栗縣生態保育教育中心(苗栗縣動物收容所),苗栗縣,苗栗縣銅鑼鄉朝陽村6鄰朝北55-1號,037-320049(苗栗縣動物保護防疫所)；037-558228(動物收容所),,,,,,,,,,
新竹縣公立動物收容所,新竹縣,新竹縣竹北市縣政五街192號,03-5519548,,,,,,,,,,
新竹市動物保護教育園區,新竹市,新竹市南寮里海濱路250號,03-5368329,,,,,,,,,,
桃園市動物保護教育園區,桃園市,桃園市新屋區永興里藻礁路1668號,03-4861760,,,,,,,,,,
新北市三芝區公立動物之家,新北市,新北市三芝區青山路,02-26365436,,,,,,,,,,
新北市八里區公立動物之家,新北市,新北市八里區長坑里6鄰長坑道路36號,02-26194428,,,,,,,,,,
新北市五股區公立動物之家,新北市,新北市五股區外寮路9-9號,02-82925265,,,,,,,,,,
新北市瑞芳區公立動物之家,新北市,新北市瑞芳區靜安路四段,02-24063481,,,,,,,,,,
新北市淡水區公立動物之家,新北市,新北市淡水區下圭柔山91-3號,02-26267558,,,,,,,,,,
新北市中和區公立動物之家,新北市,新北市中和區興南路三段100號,02-86685547,,,,,,,,,,
新北市新店區公立動物之家,新北市,新北市新店區安泰路235號,02-22159462,,,,,,,,,,
新北市板橋區公立動物之家,新北市,新北市板橋區板城路28-1號,02-89662158,,,,,,,,,,
基隆市寵物銀行,基隆市,基隆市七堵區大華三路45-12號,02-24560148,,,,,,,,,,
臺北市動物之家,臺北市,臺北市內湖區潭美街852號,02-87913254 、02-87913255,,,,,,,,,,
彰化縣流浪狗中途之家,彰化縣,彰化縣員林鎮大峰里阿寶巷426號,04-8590638,,,,,,,,,,
